year,clock_position_10pt,velocity,acceleration
1969,0.9507985365695815,,
1970,0.2359552051226368,,
1971,0.92532782376923,,
1972,0.3377659372576556,-0.6130325993119259,
1973,0.8942882509218206,0.6583330457991838,
1974,3.121333972972499,2.196006149203269,
1975,0.5517709066785077,0.21400496942085212,0.827037568732778
1976,3.0492936958471475,2.155005444925327,1.496672399126143
1977,0.3033964980078361,-2.817937474964663,-5.013943624167932
1978,3.3945099928686435,2.842739086190136,2.6287341167692837
1979,2.885104553914438,-0.1641891419327095,-2.3191945868580364
1980,2.969422720043995,2.666026222036159,5.483963697000822
1981,-0.21290598565813568,-3.607415978526779,-6.450155064716915
1982,2.0731965379657744,-0.8119080159486636,-0.6477188740159541
1983,-0.2976533840626372,-3.267076104106632,-5.933102326142791
1984,0.9620521460116116,1.1749581316697473,4.7823741101965265
1985,0.7981036837750564,-1.275092854190718,-0.4631848382420545
1986,0.49384838725575175,0.791501771318389,4.058577875425021
1987,0.6307607797938397,-0.3312913662177719,-1.5062494978875192
1988,0.914451593042692,0.11634790926763561,1.3914407634583537
1989,0.8949778232397119,0.4011294359839601,-0.39037233533442883
1990,1.7675355126072603,1.1367747328134206,1.4680660990311925
1991,0.05439292370676441,-0.8600586693359276,-0.9764065786035632
1992,3.132278552095226,2.237300728855514,1.836171292871554
1993,2.934122262436846,1.1665867498295857,0.029812017016165093
1994,3.380721016603573,3.3263280928968086,4.186386762232736
1995,3.03784193878786,-0.09443661330736575,-2.3317373421628798
1996,5.0,2.065877737563154,0.8992909877335684
1997,5.0,1.619278983396427,-1.7070491095003817
1998,5.0,1.9621580612121399,2.0565946745195056
1999,5.0,0.0,-2.065877737563154
2000,4.8947430063364905,-0.10525699366350949,-1.7245359770599364
2001,4.461026812943015,-0.5389731870569854,-2.5011312482691253
2002,4.18936444894619,-0.8106355510538101,-0.8106355510538101
2003,4.065083947180122,-0.8296590591563682,-0.7244020654928587
2004,3.884299681635989,-0.5767271313070257,-0.037753944250040306
2005,3.888295687782101,-0.301068761164089,0.5095667898897212
2006,3.887499050766552,-0.17758489641357045,0.6520741627427977
2007,3.627554595885613,-0.25674508575037613,0.31998204555664955
2008,3.6161529048672314,-0.2721427829148695,0.028925978249219497
2009,3.3780299189701566,-0.5094691317963953,-0.33188423538282485
2010,3.362848036976004,-0.2647065589096087,-0.007961473159232568
2011,3.4318794364037064,-0.184273468463525,0.0878693144513445
2012,3.305870633919488,-0.07215928505066849,0.4373098467457268
2013,3.089002530311337,-0.2738455066646672,-0.009138947755058524
2014,3.066219801837647,-0.3656596345660592,-0.18138616610253422
2015,3.1909259106254417,-0.11494472329404637,-0.04278543824337788
2016,3.3077864927150706,0.21878396240373377,0.492629469068401
2017,3.5507155890568107,0.48449578721916353,0.8501554217852227
2018,3.482193605916331,0.29126769529088925,0.4062124185849356
2019,3.4678704115841885,0.16008391886911788,-0.05870004353461589
2020,2.985905977064757,-0.5648096119920538,-1.0493053992112173
2021,3.0510096140749265,-0.43118399184140443,-0.7224516871322937
2022,2.834501615588625,-0.6333687959955636,-0.7934527148646815
2023,2.670205609772993,-0.31570036729176376,0.24910924470029006
2024,2.598545567582349,-0.45246404649257776,-0.02128005465117333
2025,2.5324028665965903,-0.3020987489920346,0.331270047003529
